,Epoch,Learning Rate,Layers,Accuracy
0,100.0,0.001,10.0,0.7369108049311095
1,100.0,0.0005179474679231213,10.0,0.7289340101522843
2,100.0,0.001,9.0,0.7341551849166063
3,100.0,0.0005179474679231213,9.0,0.7298042059463379
4,100.0,0.00026826957952797245,9.0,0.7244379985496737
5,100.0,0.00013894954943731373,9.0,0.7357505438723713
6,100.0,7.196856730011514e-05,9.0,0.7366207396664249
7,100.0,0.001,8.0,0.7341551849166063
8,100.0,0.0005179474679231213,8.0,0.7025380710659899
9,100.0,0.00026826957952797245,8.0,0.7182015953589558
10,100.0,0.001,7.0,0.7060188542422045
11,100.0,0.0005179474679231213,7.0,0.7306744017403916
12,100.0,0.00026826957952797245,7.0,0.7213923132704858
13,100.0,0.001,6.0,0.7348803480783176
14,100.0,0.0005179474679231213,6.0,0.49572153734590285
15,100.0,0.001,5.0,0.731399564902103
16,100.0,0.0005179474679231213,5.0,0.7369108049311095
17,100.0,0.001,4.0,0.7244379985496737
18,100.0,0.0005179474679231213,4.0,0.49572153734590285
19,100.0,0.001,3.0,0.49572153734590285
20,100.0,0.0005179474679231213,3.0,0.49572153734590285
21,100.0,0.00026826957952797245,3.0,0.49572153734590285
22,100.0,0.00013894954943731373,3.0,0.49572153734590285
23,100.0,7.196856730011514e-05,3.0,0.69108049311095
24,100.0,3.727593720314938e-05,3.0,0.7010877447425671
25,100.0,0.001,2.0,0.49572153734590285
26,100.0,0.0005179474679231213,2.0,0.49572153734590285
27,100.0,0.00026826957952797245,2.0,0.7231327048585932
28,100.0,0.00013894954943731373,2.0,0.724583031182016
29,100.0,0.001,1.0,0.7124002900652647
30,100.0,0.0005179474679231213,1.0,0.6542422044960116
31,31.622776601683793,0.001,10.0,0.719361856417694
32,31.622776601683793,0.0005179474679231213,10.0,0.7300942712110224
33,31.622776601683793,0.00026826957952797245,10.0,0.7335750543872371
34,31.622776601683793,0.00013894954943731373,10.0,0.6574329224075417
35,31.622776601683793,0.001,9.0,0.7338651196519217
36,31.622776601683793,0.0005179474679231213,9.0,0.6554024655547498
37,31.622776601683793,0.001,8.0,0.730384336475707
38,31.622776601683793,0.0005179474679231213,8.0,0.7311094996374184
39,31.622776601683793,0.00026826957952797245,8.0,0.7269035532994924
40,31.622776601683793,0.001,7.0,0.6388687454677302
41,31.622776601683793,0.0005179474679231213,7.0,0.7190717911530095
42,31.622776601683793,0.00026826957952797245,7.0,0.7300942712110224
43,31.622776601683793,0.001,6.0,0.6990572878897752
44,31.622776601683793,0.0005179474679231213,6.0,0.7312545322697607
45,31.622776601683793,0.00026826957952797245,6.0,0.7306744017403916
